LAT,LON,YEAR,MO,DY,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M,,,,13.8,18.11,11.76
-37.81599,144.98461,2020,8,9,2.51,2.8,5.22,3.28,7.73,6.08,6.81,4.73,,,,,,
-37.81599,144.98461,2020,8,10,4.52,2.62,1.41,0.87,5.93,3.49,2.9,2.05,,,,,,
-37.81599,144.98461,2020,8,11,3.42,3.97,6.19,3.61,9.61,7.57,7.78,5.25,,,,,,
-37.81599,144.98461,2020,8,12,2.41,3.33,7.02,4.09,9.43,7.42,8.27,5.71,,,,,,
-37.81599,144.98461,2020,8,13,2.1,2.74,5.78,3.18,7.89,5.92,6.88,4.3,,,,,,
-37.81599,144.98461,2020,8,14,3.56,2.72,3.15,1.79,6.71,4.51,5.09,3.22,,,,,,
-37.81599,144.98461,2020,8,15,1.7,1.35,3.37,2.14,5.07,3.48,4.15,2.68,,,,,,
-37.81599,144.98461,2020,8,16,2.95,3.41,5.55,3.26,8.5,6.67,7.01,4.75,,,,,,
-37.81599,144.98461,2020,8,17,3.91,2.01,3.69,2.89,7.6,4.9,5.5,3.57,,,,,,
-37.81599,144.98461,2020,8,18,3.22,2.57,6.28,4.23,9.51,6.8,7.83,5.41,,,,,,
-37.81599,144.98461,2020,8,19,2.69,1.48,6.21,4.58,8.89,6.06,7.41,5.19,,,,,,
-37.81599,144.98461,2020,8,20,2.73,2.85,7.26,4.96,9.99,7.82,9.07,6.41,,,,,,
-37.81599,144.98461,2020,8,21,3.41,3.54,8.16,5.52,11.57,9.06,9.53,6.89,,,,,,
-37.81599,144.98461,2020,8,22,3.68,3.03,8.38,6.26,12.07,9.3,10.28,7.63,,,,,,
-37.81599,144.98461,2020,8,23,2.45,3.58,7.31,4.16,9.75,7.74,8.79,6.15,,,,,,
-37.81599,144.98461,2020,8,24,3.61,2.38,3.58,2.15,7.19,4.53,5.14,3.47,,,,,,
-37.81599,144.98461,2020,8,25,2.39,2.51,3.29,2.15,5.67,4.66,4.7,3.29,,,,,,
-37.81599,144.98461,2020,8,26,4.64,2.36,3.09,2.03,7.73,4.39,4.56,3.02,,,,,,
-37.81599,144.98461,2020,8,27,6.33,5.87,8.22,4.86,14.54,10.73,11.18,7.87,,,,,,
-37.81599,144.98461,2020,8,28,3.89,2.2,4.26,2.52,8.15,4.71,5.84,3.72,,,,,,
-37.81599,144.98461,2020,8,29,5.47,4.65,6.54,3.76,12.01,8.41,8.94,5.96,,,,,,
-37.81599,144.98461,2020,8,30,4.42,4.34,8.79,5.97,13.21,10.31,11.85,8.67,,,,,,
-37.81599,144.98461,2020,8,31,6.7,4.66,1.51,1.05,8.21,5.71,5.78,3.98,,,,,,
-37.81599,144.98461,2020,9,1,8.54,5.54,0.53,0.35,9.07,5.89,5.54,3.77,,,,,,
-37.81599,144.98461,2020,9,2,8.45,8.17,5.89,3.01,14.34,11.19,10.46,7.16,,,,,,
-37.81599,144.98461,2020,9,3,8.2,7.57,5.84,3.05,14.04,10.62,9.61,6.31,,,,,,
-37.81599,144.98461,2020,9,4,2.82,2.12,5.72,3.92,8.54,6.04,7.3,4.96,,,,,,
-37.81599,144.98461,2020,9,5,8.49,5.73,0.24,0.19,8.73,5.92,4.3,2.97,,,,,,
-37.81599,144.98461,2020,9,6,5.45,3.64,2.86,2.02,8.31,5.66,6.29,4.12,,,,,,
-37.81599,144.98461,2020,9,7,6.51,5.39,8.56,5.21,15.07,10.6,11.53,7.99,,,,,,
-37.81599,144.98461,2020,9,8,10.82,8.2,4.52,2.72,15.34,10.91,9.42,6.5,,,,,,
-37.81599,144.98461,2020,9,9,2.91,3.52,4.83,2.89,7.74,6.4,6.67,4.75,,,,,,
-37.81599,144.98461,2020,9,10,4.34,2.59,3.85,2.05,8.19,4.64,5.4,3.52,,,,,,
-37.81599,144.98461,2020,9,11,5.23,6.18,6.84,3.33,12.08,9.51,9.44,6.32,,,,,,
-37.81599,144.98461,2020,9,12,4.76,4.48,4.95,2.43,9.71,6.9,7.64,5.15,,,,,,
-37.81599,144.98461,2020,9,13,2.3,2.26,4.08,2.46,6.38,4.72,5.19,3.42,,,,,,
-37.81599,144.98461,2020,9,14,3.24,2.65,3.63,2.27,6.87,4.92,5.23,3.54,,,,,,
-37.81599,144.98461,2020,9,15,3.3,2.08,0.85,0.59,4.15,2.67,2.68,1.95,,,,,,
-37.81599,144.98461,2020,9,16,6.7,5.56,3.42,1.95,10.12,7.51,6.88,4.44,,,,,,
-37.81599,144.98461,2020,9,17,2.89,3.6,3.85,2.15,6.74,5.75,5.68,4.07,,,,,,
-37.81599,144.98461,2020,9,18,5.16,3.06,0.5,0.36,5.66,3.42,3.01,1.91,,,,,,
-37.81599,144.98461,2020,9,19,7.68,5.14,4.16,2.29,11.83,7.43,8.03,5.1,,,,,,
-37.81599,144.98461,2020,9,20,3.82,3.74,8.38,4.38,12.2,8.12,10.31,6.96,,,,,,
-37.81599,144.98461,2020,9,21,8.86,6.79,3.47,2.5,12.33,9.29,8.75,5.79,,,,,,
-37.81599,144.98461,2020,9,22,7.41,7.22,8.19,4.72,15.6,11.95,11,7.73,,,,,,
-37.81599,144.98461,2020,9,23,2.58,3.43,6.48,3.69,9.07,7.12,8.06,5.61,,,,,,
-37.81599,144.98461,2020,9,24,2.23,2.13,5.69,3.65,7.92,5.78,6.77,4.64,,,,,,
-37.81599,144.98461,2020,9,25,3.44,3.24,5.01,3.2,8.45,6.45,6.87,4.93,,,,,,
-37.81599,144.98461,2020,9,26,3.18,3.25,7.84,4.98,11.02,8.23,9.6,7.02,,,,,,
-37.81599,144.98461,2020,9,27,4.08,2.7,3.6,2.39,7.68,5.09,5.38,3.79,,,,,,
-37.81599,144.98461,2020,9,28,1.8,0.51,2.64,2.22,4.44,2.73,3.4,2.51,,,,,,
-37.81599,144.98461,2020,9,29,6.4,5.12,3.02,1.96,9.42,7.07,5.91,3.92,,,,,,
-37.81599,144.98461,2020,9,30,5.46,5.31,6.07,3.67,11.54,8.98,8.31,5.66,,,,,,
-37.81599,144.98461,2020,10,1,3.56,1.73,5.33,3.68,8.89,5.41,7.11,4.6,,,,,,
-37.81599,144.98461,2020,10,2,6.18,4.82,9.17,5.74,15.35,10.56,11.75,8.14,,,,,,
-37.81599,144.98461,2020,10,3,12.96,9.83,2.34,1.22,15.29,11.04,10.98,7.65,,,,,,
-37.81599,144.98461,2020,10,4,7.66,5.64,2.81,1.66,10.47,7.3,6.5,4.45,,,,,,
-37.81599,144.98461,2020,10,5,2.39,3.12,6.44,4.07,8.84,7.19,7.56,5.93,,,,,,
-37.81599,144.98461,2020,10,6,2.37,3.19,5.43,3.07,7.8,6.26,6.91,4.97,,,,,,
-37.81599,144.98461,2020,10,7,5.94,2.96,2.05,1.53,7.99,4.49,3.93,2.49,,,,,,
-37.81599,144.98461,2020,10,8,5.39,5.42,8.94,5.51,14.33,10.92,12.48,9.26,,,,,,
